1	1	1
2	2	1
3	3	1
4	4	1
5	5	1
6	6	1
7	7	1
8	8	2
9	9	2
10	10	2
11	11	2
12	12	2
13	13	2
14	14	2
15	15	3
16	16	3
17	17	3
18	18	3
19	19	3
20	20	3
21	21	3
22	22	4
23	23	4
24	24	4
25	25	4
26	26	4
27	27	4
28	28	4
29	29	5
30	30	5
31	31	5
32	32	5
33	33	5
34	34	5
35	35	5
36	36	6
37	37	6
38	38	6
39	39	6
40	40	6
41	41	6
42	42	6
43	43	7
44	44	7
45	45	7
46	46	7
47	47	7
48	48	7
49	49	7
50	50	8
51	51	8
52	52	8
53	53	8
54	54	8
55	55	8
56	56	8
57	57	9
58	58	9
59	59	9
60	60	9
61	61	9
62	62	9
63	63	9
64	64	10
65	65	10
66	66	10
67	67	10
68	68	10
69	69	10
70	70	10
71	71	11
72	72	11
73	73	11
74	74	11
75	75	11
76	76	11
77	77	11
78	78	12
79	79	12
80	80	12
81	81	12
82	82	12
83	83	12
84	84	12
85	85	13
86	86	13
87	87	13
88	88	13
89	89	13
90	90	13
91	91	13
92	92	14
93	93	14
94	94	14
95	95	14
96	96	14
97	97	14
98	98	14
99	99	15
100	100	15
101	101	15
102	1	13
103	1	14
104	2	3
105	2	5
106	2	13
107	99	5
