1	1	1
2	1	2
3	1	3
4	3	4
5	3	5
6	3	6
7	5	7
8	5	8
9	5	9
10	7	10
11	7	11
12	7	12
13	9	13
14	9	14
15	9	15
16	11	16
17	11	17
18	11	18
19	13	19
20	13	20
21	13	21
22	15	22
23	15	23
24	15	24
25	17	25
26	17	26
27	17	27
28	19	28
29	19	29
30	19	30
31	21	31
32	21	32
33	21	33
34	23	34
35	23	35
36	23	36
37	25	37
38	25	38
39	25	39
40	27	40
41	27	41
42	27	42
43	29	43
44	29	44
45	29	45
46	31	46
47	31	47
48	31	48
49	33	49
50	33	50
51	33	51
52	35	52
53	35	53
54	35	54
55	37	55
56	37	56
57	37	57
58	39	58
59	39	59
60	39	60
61	41	61
62	41	62
63	41	63
64	43	64
65	43	65
66	43	66
67	45	67
68	45	68
69	45	69
70	47	70
71	47	71
72	47	72
73	49	73
74	49	74
75	49	75
76	51	76
77	51	77
78	51	78
79	53	79
80	53	80
81	53	81
82	55	82
83	55	83
84	55	84
85	57	85
86	57	86
87	57	87
88	59	88
89	59	89
90	59	90
91	61	91
92	61	92
93	61	93
94	63	94
95	63	95
96	63	96
97	65	97
98	65	98
99	65	99
100	67	100
101	67	101
102	67	102
103	69	103
104	69	104
105	69	105
106	71	106
107	71	107
108	71	108
109	73	109
110	73	110
111	73	111
112	75	112
113	75	113
114	75	114
115	77	115
116	77	116
117	77	117
118	79	118
119	79	119
120	79	120
121	81	121
122	81	122
123	81	123
124	83	124
125	83	125
126	83	126
127	85	127
128	85	128
129	85	129
130	87	130
131	87	131
132	87	132
133	89	133
134	89	134
135	89	135
136	91	136
137	91	137
138	91	138
139	93	139
140	93	140
141	93	141
142	95	142
143	95	143
144	95	144
145	97	145
146	97	146
147	97	147
148	99	148
149	99	149
150	99	150
151	101	151
152	101	152
153	101	153
